Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.109874995,0.239581221,0.895079478,0.098786243,0.223476599,0.903112462,0.506336639,0.540181429,0.499332324
GAM,0.019731129,0.088176541,0.981158586,0.029678612,0.106746826,0.970891821,0.4704996,0.507509065,0.53476813
RF,0.009992227,0.050354318,0.990458342,0.032426659,0.097553718,0.968196593,0.436364744,0.502720178,0.568520811
XGBoost,1.67E-06,0.000939897,0.999998409,0.013894315,0.055237971,0.986372738,0.39787342,0.474730617,0.606581185
,,,,,,,,,
,,,,,,,,,
Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.11,0.24,0.896,0.099,0.224,0.904,0.507,0.541,0.5
GAM,0.02,0.089,0.982,0.03,0.107,0.971,0.471,0.508,0.535
RF,0.01,0.051,0.991,0.033,0.098,0.969,0.437,0.503,0.569
XGBoost,0.001,0.001,1,0.014,0.056,0.987,0.398,0.475,0.607
