Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.003,0.038,0.913,0.002,0.035,0.928,0.017,0.096,0.472
LR_Ridge,0.003,0.039,0.912,0.002,0.035,0.927,0.017,0.097,0.463
LR_Lasso,0.003,0.039,0.912,0.002,0.035,0.929,0.017,0.097,0.467
LR_Elastic,0.003,0.039,0.912,0.002,0.035,0.928,0.017,0.097,0.465
GAM,0,0.01,0.995,0.001,0.018,0.978,0.013,0.09,0.596
RF,0,0,1,0,0.01,0.987,0.013,0.083,0.606
AdaB,0.001,0.025,0.97,0.002,0.031,0.951,0.012,0.084,0.626
XGBoost,0,0,1,0,0.009,0.988,0.011,0.077,0.661
KNN,0,0,1,0.001,0.015,0.97,0.017,0.096,0.484
SVM,0.003,0.043,0.915,0.003,0.041,0.919,0.012,0.085,0.633
