Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.0913138794321938,0.2163160541126629,0.9113645136970984,0.07268740605815473,0.19447769335813794,0.9275330666077095,0.526083971797358,0.5330710790949205,0.4712205929115836
LR_Ridge,0.09136449787938807,0.21628793084131567,0.9113153799760161,0.07276827010851333,0.19476169137920732,0.9274524478311021,0.5296879353687763,0.5358051013684842,0.4675981641309612
LR_Lasso,0.09166143573966089,0.21729477732689792,0.9110271518138715,0.0724506800023282,0.1956509380498059,0.9277690746350984,0.5301068975690285,0.5370702854764852,0.4671770553427864
LR_Elastic,0.09167515773211589,0.21717295623328867,0.9110138323110549,0.07271426565139587,0.19580895446656713,0.9275062884839614,0.5310740704395628,0.5378435390188189,0.46620492708104555
GAM,0.006530904930234147,0.05700055210823514,0.9936606577435014,0.01926657442034672,0.08922242425270968,0.980791864217856,0.3898489815421678,0.4893799270631474,0.6081535945495502
KNN,0.0,0.0,1.0,0.03596418850972972,0.08614145481860504,0.9641448966942469,0.5501988782108911,0.551915376830596,0.44698213175532464
SVM,0.007259831635459001,0.07079945582565142,0.9929531117121804,0.025663771678414417,0.10874425203499188,0.9744140706943557,0.40395969780634106,0.47120317290114766,0.5939705808487707
RF,8.257485038230639e-30,2.384539494084081e-15,1.0,0.01167242105096308,0.04893753112963683,0.9883629832910784,0.39586139844000945,0.4621239341261333,0.6021103725301695
AdaB,0.03446013980289598,0.14218457662199804,0.9665506353635568,0.05135538581275808,0.17061365844594945,0.9488003833834568,0.3950660396968718,0.4738728172947673,0.6029098063604419
XGBoost,1.8744002915127003e-06,0.0008535526228770732,0.9999981805790927,0.011916374348665465,0.048141268385092965,0.9881197699432079,0.350787459332384,0.43749028773089976,0.6474152517399285
MLP,0.0023413396431807196,0.03629107477727537,0.9977273358752906,0.023087427734738535,0.0929589042141148,0.9769826001699105,0.45299842701464693,0.48873900599176423,0.5446805976041842
