Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.08696797989064008,0.2108762571828044,0.9151431051926828,0.06731816918322595,0.18781533655364083,0.9328860177182718,0.5205880559303966,0.5275631643151042,0.4767446675637934
LR_Ridge,0.08866846117126806,0.21352802151595057,0.9134839018705693,0.07025990666238534,0.19363341410429938,0.9299532030049598,0.5362303416746231,0.5403193846844886,0.4610222372584548
LR_Lasso,0.14641204639154087,0.28268577841029513,0.8571420005984506,0.12406552759459455,0.269018942406166,0.8763107832286139,0.5098313865970373,0.5372652674947809,0.4875564495933946
LR_Elastic,0.1457209619017365,0.2778877065211414,0.8578163095099378,0.12604706738755142,0.2674329904877991,0.8743352537665294,0.5352926183165257,0.5497219794821602,0.46196476512071527
GAM,0.007049057648615799,0.05824954082700666,0.9931220531495445,0.006641024134602722,0.05498595596836313,0.9933791191663407,0.38513599567849416,0.4795978483085357,0.6128907277910272
KNN,0.0,0.0,1.0,0.0,0.0,1.0,0.5866325455748951,0.5768494631755338,0.4103617934451216
SVM,0.02205334032615759,0.10372924162991978,0.9784819886289192,0.016828229093783266,0.09222771029656943,0.9832228136484369,0.43351239808691516,0.4768079978359219,0.564266464833157
RF,0.002699944744605818,0.02538858188756877,0.9973655944697498,0.002273253734171094,0.021358695659723897,0.9977336414122943,0.38869519356703447,0.4610871888730847,0.6093132940540085
AdaB,0.04524519926975803,0.17660885283412445,0.955853095359949,0.04508185570592977,0.17621217813074486,0.955054884858201,0.4334125807322291,0.5030142995414558,0.5643667936104199
XGBoost,2.652818255750588e-07,0.000361861751408098,0.9999997411576997,2.2258928586425753e-07,0.00033512274055060525,0.9999997780858635,0.36839300908173794,0.4493661900200212,0.6297194984819013
MLP,0.003004157626208305,0.03771477941023339,0.9970687661367745,0.003028106394811151,0.037234242694275874,0.9969810783419347,0.40159590128616557,0.46679112858573535,0.5963464884783944
