Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.091,0.216,0.911,0.073,0.194,0.928,0.526,0.533,0.471
LR_Ridge,0.091,0.216,0.911,0.073,0.195,0.927,0.53,0.536,0.468
LR_Lasso,0.092,0.217,0.911,0.072,0.196,0.928,0.53,0.537,0.467
LR_Elastic,0.092,0.217,0.911,0.073,0.196,0.928,0.531,0.538,0.466
GAM,0.007,0.057,0.994,0.019,0.089,0.981,0.39,0.489,0.608
KNN,0.0,0.0,1.0,0.036,0.086,0.964,0.55,0.552,0.447
SVM,0.007,0.071,0.993,0.026,0.109,0.974,0.404,0.471,0.594
RF,0.0,0.0,1.0,0.012,0.049,0.988,0.396,0.462,0.602
AdaB,0.034,0.142,0.967,0.051,0.171,0.949,0.395,0.474,0.603
XGBoost,0.0,0.001,1.0,0.012,0.048,0.988,0.351,0.437,0.647
MLP,0.002,0.036,0.998,0.023,0.093,0.977,0.453,0.489,0.545
