Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.087,0.211,0.915,0.067,0.188,0.933,0.521,0.528,0.477
LR_Ridge,0.089,0.214,0.913,0.07,0.194,0.93,0.536,0.54,0.461
LR_Lasso,0.146,0.283,0.857,0.124,0.269,0.876,0.51,0.537,0.488
LR_Elastic,0.146,0.278,0.858,0.126,0.267,0.874,0.535,0.55,0.462
GAM,0.007,0.058,0.993,0.007,0.055,0.993,0.385,0.48,0.613
KNN,0.0,0.0,1.0,0.0,0.0,1.0,0.587,0.577,0.41
SVM,0.022,0.104,0.978,0.017,0.092,0.983,0.434,0.477,0.564
RF,0.003,0.025,0.997,0.002,0.021,0.998,0.389,0.461,0.609
AdaB,0.045,0.177,0.956,0.045,0.176,0.955,0.433,0.503,0.564
XGBoost,0.0,0.0,1.0,0.0,0.0,1.0,0.368,0.449,0.63
MLP,0.003,0.038,0.997,0.003,0.037,0.997,0.402,0.467,0.596
