Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.002838677487943171,0.03815622317260699,0.9145502892132535,0.0023560927364653264,0.035013570463193394,0.9275330666077097,0.017052508707366736,0.09597358682884392,0.47122059291158525
LR_Ridge,0.002865016173760031,0.03833496896129164,0.9137574435676623,0.0023968811204456136,0.03544927212073036,0.9262785280832572,0.017331503620688388,0.09752089498619129,0.46256926967354617
LR_Lasso,0.002846189362583472,0.038305654303269446,0.9143241671834681,0.002344556856806701,0.03518435653975866,0.9278878785427006,0.01716495725790628,0.09665698131923263,0.4677336879111166
LR_Elastic,0.0028543345766249,0.03835335333174186,0.9140789804064945,0.0023602704547260366,0.03529760573313325,0.927404571482605,0.017178003222892785,0.09685300734036428,0.46732914698703076
GAM,0.0002945449633556437,0.011426622982975929,0.9911336240064844,0.0006245075808738859,0.016063516528492548,0.9807918641886471,0.012636581843952223,0.08810747535169076,0.6081535937182865
KNN,0.00011501415235511298,0.0023175180267682597,0.9965378504261686,0.0005730647009786733,0.011547168307793012,0.982374105707912,0.016924644472263505,0.0967798782504522,0.47518552121544777
SVM,0.002754211707592922,0.04176101012506207,0.917092873403589,0.002554641472780669,0.03975653944486843,0.9214262534814689,0.011642899035057323,0.08443458393826471,0.6389665969859174
RF,7.666988579579154e-05,0.0017639652999715384,0.9976920873910018,0.00038201216352903107,0.008789059663226989,0.9882503563713565,0.012529772399352837,0.0833806090297871,0.6114656362896125
AdaB,0.001077835807592621,0.026352034924587542,0.9675550468746196,0.0015612539487132651,0.030971608332580235,0.9519801219371403,0.012158898578279093,0.08399099961132979,0.6229660226889033
XGBoost,8.278331518561784e-05,0.002100916713921852,0.9975080612818384,0.0004116496318736555,0.009127548274484493,0.9873387893471874,0.01137931441276953,0.0785181888420835,0.6471400641679486
MLP,0.0015330318587526111,0.02886563345880107,0.9538527608318774,0.0014696944082061457,0.028920113824364466,0.9547962416172647,0.012730645504567687,0.08673228233122951,0.6052367837906467
