Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.0901401624834258,0.21519561024624334,0.9134759526924672,0.5378384119961659,0.5366286333526282,0.4681832452726693
LR_Ridge,0.09049145239819828,0.21490763233949925,0.9131387553281954,0.5561952740458678,0.5474805660460241,0.4500319072787602
LR_Lasso,0.657728314811832,0.6591581069270781,0.3686574967429549,0.9787668751506431,0.7279911966484136,0.03219143228294341
LR_Elastic,0.6577283215132559,0.659158147385633,0.3686574903103692,0.978766834183722,0.7279911544607456,0.032191472791197495
GAM,0.005075104148798406,0.04895909204901873,0.9951284916804756,0.45567052469204855,0.5108377677562904,0.5494311780982412
KNN,0.0,0.0,1.0,0.6446506926529757,0.596192593084796,0.3625668385658638
SVR,0.6688939458985729,0.6526127395372023,0.3579397926058532,0.9396961889624347,0.7161259374646969,0.07082468173135037
RF,0.005806243051801441,0.035343142476023895,0.9944266835708725,0.594138106703,0.5829317016895945,0.41251388387469334
AdaB,0.04400417831768103,0.1611029251773053,0.9577611188887282,0.4647589468091028,0.5221704922072207,0.5404445102662709
XGBoost,3.25673424164783e-07,0.0004087669907427315,0.9999996873914803,0.3629249953810966,0.44843048467587954,0.6411383252887073
MLP,0.661798917149568,0.6600229749787052,0.3647501930557092,1.2712181926625794,0.803886035221762,-0.2569855902686531
