Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.08867660811045204,0.21344145665648015,0.9134759526924671,0.5291058366585065,0.5322543385308296,0.4681832452727265
LR_Ridge,0.09023519550959559,0.21490848965535478,0.9119551988800474,0.5499328476865573,0.5474106339783161,0.44724952530933126
LR_Lasso,0.1506531590681424,0.28746551432392276,0.8530038378779079,0.5074320742691771,0.5378478892024942,0.4899680549989184
LR_Elastic,0.147844190076064,0.28010661164391387,0.8557446211705353,0.5234374525239432,0.5466320997129709,0.4738806718481522
GAM,0.004992702577765685,0.04856000504640591,0.9951284916818991,0.44827204913344454,0.5066737005691544,0.5494311914783134
KNN,0.0648733837533531,0.16769576794531277,0.9367013709197876,0.5905183879008008,0.5807673567265975,0.4064560416806051
SVR,0.07363854735653175,0.18853620017896813,0.9281489753509915,0.5808805635291913,0.5511946098675224,0.41614324625258736
RF,0.005438356475513399,0.033343720168667705,0.9946936557115891,0.5798031284826525,0.5765519807353102,0.4172262016278264
AdaB,0.04534604922372877,0.177364929623284,0.9557546934659855,0.436177918550143,0.5037860247373361,0.5615872873525884
XGBoost,2.0800658382732872e-07,0.00032810513410596015,0.9999997970426262,0.33904812134478757,0.42754738007080473,0.6592147372089192
MLP,0.07586602520315439,0.19587842586221507,0.9259755679250151,0.6040898485311789,0.5820204417278295,0.3928150465350253
