Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.089,0.213,0.913,0.529,0.532,0.468
LR_Ridge,0.09,0.215,0.912,0.55,0.547,0.447
LR_Lasso,0.151,0.287,0.853,0.507,0.538,0.49
LR_Elastic,0.148,0.28,0.856,0.523,0.547,0.474
GAM,0.005,0.049,0.995,0.448,0.507,0.549
KNN,0.065,0.168,0.937,0.591,0.581,0.406
SVR,0.074,0.189,0.928,0.581,0.551,0.416
RF,0.005,0.033,0.995,0.58,0.577,0.417
AdaB,0.045,0.177,0.956,0.436,0.504,0.562
XGBoost,0.0,0.0,1.0,0.339,0.428,0.659
MLP,0.076,0.196,0.926,0.604,0.582,0.393
