Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.002874367426129649,0.038427787543972296,0.9134759526924672,0.017150459566202404,0.09582654167010547,0.46818324527272714
LR_Ridge,0.0032209078169256975,0.04050037976031134,0.9030444132536899,0.01804340494765241,0.10092826429576769,0.4404939980500301
LR_Lasso,0.0048469997777875395,0.05088310162666207,0.8540958841028927,0.016521031430544387,0.09753267635237158,0.48770111458389964
LR_Elastic,0.004797576966745544,0.05034223034439055,0.8555836067933864,0.016612670583035,0.09767612379813172,0.48485948596774553
GAM,0.0001618336781891722,0.008742695006980133,0.9951284916812301,0.014530309869918457,0.09122102947967962,0.5494311851893556
KNN,0.002335271211493554,0.03155163449819224,0.9297037967580718,0.019415669448616925,0.10605944358534808,0.3979415958410213
SVR,0.004620563848151339,0.06013906828760771,0.8609120457772368,0.014146754331725958,0.08715286703672205,0.5613248175898065
RF,0.000176308866293429,0.0060031671779788845,0.9946927603794721,0.018841818226760832,0.10388084982032045,0.41573608661403816
AdaB,0.0011586751796233766,0.026375113931461608,0.9651216246244522,0.011908897392582121,0.08371832038287826,0.6307182825477202
XGBoost,2.8836893367530303e-07,0.00038077616150918405,0.999991319534506,0.010865221391074974,0.07709055494013688,0.6630815193441304
MLP,0.009076354236622374,0.070653678671681,0.7267840930110727,0.023609209589962807,0.1188950446274311,0.2679045609627224
