Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.08787626791136957,0.21256766183743986,0.9156490275533858,0.533388955178518,0.5326043484726684,0.47258288581949914
LR_Ridge,0.0885470710587951,0.21218354797436073,0.9150051347351034,0.5509830598275169,0.5443986564547099,0.45518576536832844
LR_Lasso,0.5336456876163101,0.6050493502792168,0.487762353110197,0.8826414140685713,0.6892268624434416,0.12724066941273804
LR_Elastic,0.5336459595171652,0.6050494961984703,0.4877620921170748,0.882642170696987,0.689227126654398,0.12723992125555994
GAM,0.005905030747904848,0.05353276071200568,0.9943318588994323,0.42641220575418226,0.5011276210642285,0.57836191989588
KNN,0.0,0.0,1.0,0.6938540177497213,0.6416391482717144,0.3139143955809407
SVR,0.6509000341288091,0.6463322326655946,0.37521185014736114,0.9309822813369704,0.7123066261507243,0.07944102814879672
RF,0.0055053735171481984,0.03341740046050221,0.9947154832483139,0.5948834665777685,0.5834535570791849,0.41177686907459365
AdaB,0.04850989486313652,0.17175606734420737,0.9534361562883445,0.47161335566100615,0.527824189947862,0.5336668436104733
XGBoost,3.591500994053186e-07,0.00045907692663560467,0.9999996552577748,0.3623176851721521,0.4471016632575172,0.6417388360317666
MLP,0.5544716824670513,0.5986649378108674,0.4677718259794823,1.3342609109929335,0.832466288492817,-0.3193224801668726
