Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.088,0.213,0.916,0.533,0.533,0.473
LR_Ridge,0.089,0.212,0.915,0.551,0.544,0.455
LR_Lasso,0.534,0.605,0.488,0.883,0.689,0.127
LR_Elastic,0.534,0.605,0.488,0.883,0.689,0.127
GAM,0.006,0.054,0.994,0.426,0.501,0.578
KNN,0.0,0.0,1.0,0.694,0.642,0.314
SVR,0.651,0.646,0.375,0.931,0.712,0.079
RF,0.006,0.033,0.995,0.595,0.583,0.412
AdaB,0.049,0.172,0.953,0.472,0.528,0.534
XGBoost,0.0,0.0,1.0,0.362,0.447,0.642
MLP,0.554,0.599,0.468,1.334,0.832,-0.319
