Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.0028021769104390804,0.037958511042399244,0.9156490275533858,0.01700857637686316,0.09510791937010438,0.4725828858195875
LR_Ridge,0.0031765074923084586,0.04041641214609932,0.904380949339066,0.017979404739506967,0.10091729098264707,0.4424785736158565
LR_Lasso,0.004846999852815894,0.05088310266489246,0.8540958818443934,0.01652103118573957,0.09753267551212691,0.4877011221750258
LR_Elastic,0.004797576360954742,0.05034222178696704,0.8555836250288672,0.01661267328125411,0.09767613212061263,0.4848594022989594
GAM,0.00018829817440569317,0.009559421555609945,0.9943318588980331,0.013597327889249751,0.08948707496646151,0.5783619230079529
KNN,0.002646974823309679,0.03415000543550363,0.9203209120894189,0.019848665442407345,0.10693800088272695,0.3845148696743753
SVR,0.0041074275818424365,0.055526040293869754,0.8763584449319562,0.013994774508660995,0.0868656873734678,0.5660375435651332
RF,0.00017557893272067272,0.005967392939371779,0.9947147327990057,0.01901255645804645,0.10435222614499672,0.41044168317722696
AdaB,0.0015248373104858666,0.02999871443420111,0.9540994326649389,0.014848885119700707,0.09363552558183014,0.5395525195581733
XGBoost,3.282611666800189e-06,0.0012785462223631305,0.9999011870074199,0.011864221592983823,0.07956855628489902,0.6321036296088588
MLP,0.0034047842148519007,0.0428478743237698,0.8975093762197056,0.021247608683711863,0.10961015542695494,0.34113518927768516
