Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.003,0.038,0.916,0.017,0.095,0.473
LR_Ridge,0.003,0.04,0.904,0.018,0.101,0.442
LR_Lasso,0.005,0.051,0.854,0.017,0.098,0.488
LR_Elastic,0.005,0.05,0.856,0.017,0.098,0.485
GAM,0.0,0.01,0.994,0.014,0.089,0.578
KNN,0.003,0.034,0.92,0.02,0.107,0.385
SVR,0.004,0.056,0.876,0.014,0.087,0.566
RF,0.0,0.006,0.995,0.019,0.104,0.41
AdaB,0.002,0.03,0.954,0.015,0.094,0.54
XGBoost,0.0,0.001,1.0,0.012,0.08,0.632
MLP,0.003,0.043,0.898,0.021,0.11,0.341
